KPI,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,Total
Commerce Total,1.0,18.0,12.0,10.0,16.0,5.0,1.0,14.0,7.0,24.0,8.0,10.0,13.0,21.0,5.0,1.0,19.0,9.0,4.0,12.0,16.0,9.0,7.0,0.0,242.0
Commerce (AC FP PB DDL CA),0.0,12.0,7.0,2.0,11.0,5.0,1.0,8.0,4.0,11.0,3.0,7.0,13.0,3.0,4.0,1.0,13.0,7.0,0.0,12.0,13.0,4.0,7.0,0.0,148.0
Commerce (LP DP GP GB PM),1.0,6.0,5.0,8.0,5.0,0.0,0.0,6.0,3.0,13.0,5.0,3.0,0.0,18.0,1.0,0.0,6.0,2.0,4.0,0.0,3.0,5.0,0.0,0.0,94.0
Commerce / 15,0.07,1.2,0.8,0.67,1.07,0.33,0.07,0.93,0.47,1.6,0.53,0.67,0.87,1.4,0.33,0.07,1.27,0.6,0.27,0.8,1.07,0.6,0.47,0.0,16.16
Analyse Total,2.0,2.0,4.0,4.0,4.0,5.0,0.0,0.0,4.0,2.0,1.0,3.0,5.0,2.0,0.0,4.0,5.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0,57.0
Analyse (PB DDL CA),1.0,1.0,4.0,3.0,4.0,5.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,2.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,47.0
Analyse (LP GB),1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0
Commerce Signe Total,0.0,1.0,3.0,2.0,10.0,0.0,1.0,5.0,2.0,4.0,2.0,2.0,10.0,1.0,1.0,1.0,9.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,65.0
Commerce Signe (AC FP PB DDL CA),0.0,1.0,3.0,1.0,7.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,10.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,51.0
Commerce Signe (LP DP GP GB PM),0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0
Ratio Signe/Total Commerce,0.0,0.06,0.25,0.2,0.62,0.0,1.0,0.36,0.29,0.17,0.25,0.2,0.77,0.05,0.2,1.0,0.47,0.22,0.0,0.0,0.44,0.22,0.0,0.0,0.27
Ratio Signe/Total Commerce (G1),0.0,0.08,0.43,0.5,0.64,0.0,1.0,0.38,0.5,0.18,0.33,0.14,0.77,0.0,0.25,1.0,0.69,0.14,0.0,0.0,0.46,0.25,0.0,0.0,0.34
Ratio Signe/Total Commerce (G2),0.0,0.0,0.0,0.12,0.6,0.0,0.0,0.33,0.0,0.15,0.2,0.33,0.0,0.06,0.0,0.0,0.0,0.5,0.0,0.0,0.33,0.2,0.0,0.0,0.15
Analyse Signe Total,2.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,5.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,39.0
Analyse Signe (Telecoms Energie...),1.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0
Analyse Signe (QOFI IT...),1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Telecoms Commerce,0.0,5.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,26.0
